player,pos,team,adp_pos_rank,underdog_adp,prev_adp,adp_delta,source_url
Malik Nabers,WR,New York Giants,WR7,17.7,18.1,0.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Derrick Henry,RB,Baltimore Ravens,RB11,18,20.4,2.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Drake London,WR,Atlanta Falcons,WR8,19.6,19.8,0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chase Brown,RB,Cincinnati Bengals,RB12,20.3,22.5,2.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Rashee Rice,WR,Kansas City Chiefs,WR9,20.4,26.4,6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Trey McBride,TE,Arizona Cardinals,TE1,22.4,19.2,-3.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brock Bowers,TE,Las Vegas Raiders,TE2,22.6,23.4,0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jeremiyah Love,RB,Arizona Cardinals,RB13,23.8,16.9,-6.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
George Pickens,WR,Dallas Cowboys,WR10,25.3,24.8,-0.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Nico Collins,WR,Houston Texans,WR11,25.8,25,-0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Josh Jacobs,RB,Green Bay Packers,RB14,26.9,27.2,0.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
A.J. Brown,WR,Philadelphia Eagles,WR12,27.5,29.3,1.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Josh Allen,QB,Buffalo Bills,QB1,30.4,29.6,-0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
DeVonta Smith,WR,Philadelphia Eagles,WR13,30.4,41.1,10.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Travis Etienne Jr.,RB,New Orleans Saints,RB15,30.8,30.7,-0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Breece Hall,RB,New York Jets,RB16,32.6,32.4,-0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tetairoa McMillan,WR,Carolina Panthers,WR14,33.8,33.1,-0.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kyren Williams,RB,Los Angeles Rams,RB17,33.9,35.1,1.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chris Olave,WR,New Orleans Saints,WR15,34.7,28.4,-6.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tee Higgins,WR,Cincinnati Bengals,WR16,35.5,33.9,-1.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Javonte Williams,RB,Dallas Cowboys,RB18,37.7,40.3,2.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Garrett Wilson,WR,New York Jets,WR17,37.7,35.9,-1.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Zay Flowers,WR,Baltimore Ravens,WR18,39.4,40.4,1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Emeka Egbuka,WR,Tampa Bay Buccaneers,WR19,40,37.6,-2.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ladd McConkey,WR,Los Angeles Chargers,WR20,41.7,39.6,-2.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Luther Burden,WR,Chicago Bears,WR21,42.5,42.1,-0.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Bucky Irving,RB,Tampa Bay Buccaneers,RB19,43,39.7,-3.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Mike Evans,WR,San Francisco 49ers,WR22,45.4,47.3,1.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Colston Loveland,TE,Chicago Bears,TE3,45.9,45.4,-0.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
TreVeyon Henderson,RB,New England Patriots,RB20,47.4,47.2,-0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jameson Williams,WR,Detroit Lions,WR23,47.5,46.2,-1.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jaylen Waddle,WR,Denver Broncos,WR24,48.9,48.7,-0.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
David Montgomery,RB,Houston Texans,RB21,49,55.8,6.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Terry McLaurin,WR,Washington Commanders,WR25,50,48.3,-1.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Cam Skattebo,RB,New York Giants,RB22,50.7,57.3,6.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
D.J. Moore,WR,Buffalo Bills,WR26,51.4,52.5,1.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Davante Adams,WR,Los Angeles Rams,WR27,51.8,50.7,-1.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Lamar Jackson,QB,Baltimore Ravens,QB2,53.2,50.5,-2.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Quinshon Judkins,RB,Cleveland Browns,RB23,55,53.9,-1.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
D'Andre Swift,RB,Chicago Bears,RB24,56.9,59.9,3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Bhayshul Tuten,RB,Jacksonville Jaguars,RB25,57,55,-2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Rome Odunze,WR,Chicago Bears,WR28,57.1,53.7,-3.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Christian Watson,WR,Green Bay Packers,WR29,59.5,58.9,-0.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Carnell Tate,WR,Tennessee Titans,WR30,59.9,58.4,-1.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jadarian Price,RB,Seattle Seahawks,RB26,60.9,107.8,46.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Joe Burrow,QB,Cincinnati Bengals,QB3,62.9,63.7,0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jordyn Tyson,WR,New Orleans Saints,WR31,63.8,71.3,7.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brian Thomas,WR,Jacksonville Jaguars,WR32,63.9,61.7,-2.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jayden Daniels,QB,Washington Commanders,QB4,64.4,62.7,-1.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Marvin Harrison,WR,Arizona Cardinals,WR33,67.2,65.5,-1.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jalen Hurts,QB,Philadelphia Eagles,QB5,68.9,69.4,0.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Alec Pierce,WR,Indianapolis Colts,WR34,68.9,67.6,-1.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tyler Warren,TE,Indianapolis Colts,TE4,69,68,-1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chuba Hubbard,RB,Carolina Panthers,RB27,69.2,73.6,4.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Caleb Williams,QB,Chicago Bears,QB6,70.6,68.7,-1.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Drake Maye,QB,New England Patriots,QB7,70.9,70.8,-0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Makai Lemon,WR,Philadelphia Eagles,WR35,72.7,64.9,-7.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Parker Washington,WR,Jacksonville Jaguars,WR36,73.8,73,-0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Rhamondre Stevenson,RB,New England Patriots,RB28,76.3,77.3,1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
DK Metcalf,WR,Pittsburgh Steelers,WR37,76.9,77.5,0.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
RJ Harvey,RB,Denver Broncos,RB29,78.5,67,-11.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Dak Prescott,QB,Dallas Cowboys,QB8,79,79.8,0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Courtland Sutton,WR,Denver Broncos,WR38,80.3,76.3,-4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jordan Addison,WR,Minnesota Vikings,WR39,80.8,83.9,3.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jaylen Warren,RB,Pittsburgh Steelers,RB30,81.8,78.9,-2.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tony Pollard,RB,Tennessee Titans,RB31,83.1,107.8,24.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Michael Wilson,WR,Arizona Cardinals,WR40,83.3,78.7,-4.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Trevor Lawrence,QB,Jacksonville Jaguars,QB9,83.9,83.8,-0.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tucker Kraft,TE,Green Bay Packers,TE5,84.4,89.2,4.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kyle Monangai,RB,Chicago Bears,RB32,87,94.2,7.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Harold Fannin,TE,Cleveland Browns,TE6,87.1,80.5,-6.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Justin Herbert,QB,Los Angeles Chargers,QB10,87.1,82.7,-4.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
